Date,Price,Open,High,Low,Vol.,Change %
"Apr 07, 2021",3137.41,3129.07,3146.19,3125.33,1.98B,0.33%
"Apr 06, 2021",3127.08,3123.8,3139.29,3110.19,1.28B,0.20%
"Apr 05, 2021",3120.83,3121.23,3127.2,3101.86,1.08B,0.26%
"Apr 02, 2021",3112.8,3104.72,3121.58,3101.6,792.70M,0.82%
"Apr 01, 2021",3087.4,3073.77,3090.88,3069.68,922.68M,0.85%
"Mar 31, 2021",3061.42,3073.39,3093.89,3061.4,1.15B,-0.28%
"Mar 30, 2021",3070,3038.44,3074.57,3038.44,1.02B,1.12%
"Mar 29, 2021",3036.04,3047.71,3054.21,3025.39,1.29B,-0.16%
"Mar 26, 2021",3041.01,3012.79,3041.86,3012.79,1.04B,1.09%
"Mar 25, 2021",3008.33,2995.67,3024.63,2987.83,940.35M,0.40%
"Mar 24, 2021",2996.35,2996.32,3006.54,2971.04,978.43M,-0.28%
"Mar 23, 2021",3004.74,3038.25,3058.79,3003.05,1.33B,-1.01%
"Mar 22, 2021",3035.46,3040.01,3048.11,3019.6,915.74M,-0.13%
"Mar 19, 2021",3039.53,3063.01,3063.01,3022.49,1.07B,-0.86%
"Mar 18, 2021",3066.01,3054.93,3090.19,3054.93,1.23B,0.61%
"Mar 17, 2021",3047.5,3067.76,3069.57,3027.2,814.99M,-0.64%
"Mar 16, 2021",3067.17,3049.23,3071.54,3049.23,1.12B,0.70%
"Mar 15, 2021",3045.71,3057.06,3065.17,3036.14,1.16B,-0.28%
"Mar 12, 2021",3054.39,3030.73,3061.43,3030.73,1.67B,1.35%
"Mar 11, 2021",3013.7,2964.3,3028.37,2964.3,1.35B,1.88%
"Mar 10, 2021",2958.12,2980.76,3013.95,2951.53,905.65M,-0.60%
"Mar 09, 2021",2976.12,2989.96,3000.49,2929.36,1.53B,-0.67%
"Mar 08, 2021",2996.11,3031.99,3055.65,2992.64,1.93B,-1.00%
"Mar 05, 2021",3026.26,3036.16,3036.98,2982.45,1.19B,-0.57%
"Mar 04, 2021",3043.49,3076.88,3076.88,3022.54,1.28B,-1.28%
"Mar 03, 2021",3082.99,3041.2,3083.04,3029.37,2.24B,1.29%
"Mar 02, 2021",3043.87,3021.68,3096.5,3020.74,1.75B,1.03%
"Feb 26, 2021",3012.95,3089.49,3089.49,2988.28,1.36B,-2.80%
"Feb 25, 2021",3099.69,3026.47,3099.8,3026.47,1.28B,3.50%
"Feb 24, 2021",2994.98,3070.58,3092.05,2993.46,1.56B,-2.45%
"Feb 23, 2021",3070.09,3069.26,3094.29,3035.46,2.36B,-0.31%
"Feb 22, 2021",3079.75,3114.03,3142.48,3079.16,1.83B,-0.90%
"Feb 19, 2021",3107.62,3089.96,3109.67,3040.28,3.46B,0.68%
"Feb 18, 2021",3086.66,3131.74,3140.4,3086.66,1.86B,-1.50%
"Feb 17, 2021",3133.73,3162.95,3162.95,3115.48,1.78B,-0.93%
"Feb 16, 2021",3163.25,3151.85,3180.94,3145.84,1.94B,0.52%
"Feb 15, 2021",3147,3108.7,3156.56,3108.7,1.60B,1.50%
"Feb 10, 2021",3100.58,3088.13,3111.88,3064.25,2.15B,0.52%
"Feb 09, 2021",3084.67,3102.25,3129.66,3084.67,2.15B,-0.21%
"Feb 08, 2021",3091.24,3113.63,3128.54,3085.59,1.28B,-0.94%
"Feb 05, 2021",3120.63,3098.49,3124.62,3081.78,1.19B,1.07%
"Feb 04, 2021",3087.55,3135.02,3135.02,3068.46,1.46B,-1.35%
"Feb 03, 2021",3129.68,3108.42,3142.26,3091.85,901.79M,1.06%
"Feb 02, 2021",3096.81,3065.56,3138.95,3065.56,887.31M,1.32%
"Feb 01, 2021",3056.53,2976.81,3056.87,2947.24,969.26M,2.70%
"Jan 29, 2021",2976.21,3078.73,3100.22,2962.7,995.07M,-3.03%
"Jan 28, 2021",3069.05,3114.98,3114.98,3046.64,1.31B,-1.71%
"Jan 27, 2021",3122.56,3143.46,3182.53,3118.89,924.58M,-0.57%
"Jan 26, 2021",3140.31,3203.96,3209.18,3132.67,873.02M,-2.14%
"Jan 25, 2021",3208.99,3144.01,3212.22,3142.8,1.09B,2.18%
"Jan 22, 2021",3140.63,3163.83,3185.26,3140.6,1.11B,-0.64%
"Jan 21, 2021",3160.84,3123.27,3163.21,3123.27,1.36B,1.49%
"Jan 20, 2021",3114.55,3115.04,3145.01,3077.15,1.19B,0.71%
"Jan 19, 2021",3092.66,3013.05,3107,3011.32,1.35B,2.61%
"Jan 18, 2021",3013.93,3079.9,3079.9,3003.89,1.47B,-2.33%
"Jan 15, 2021",3085.9,3153.84,3189.9,3085.9,1.33B,-2.03%
"Jan 14, 2021",3149.93,3148.65,3159.03,3128.72,1.23B,0.05%
"Jan 13, 2021",3148.29,3128.26,3164.37,3109.63,1.58B,0.71%
"Jan 12, 2021",3125.95,3145.87,3154.79,3047.56,1.39B,-0.71%
"Jan 11, 2021",3148.45,3161.9,3266.23,3096.19,1.71B,-0.12%
"Jan 08, 2021",3152.18,3040.11,3161.11,3040.11,1.30B,3.97%
"Jan 07, 2021",3031.68,2980.75,3055.28,2980.75,1.52B,2.14%
"Jan 06, 2021",2968.21,2993.34,3027.16,2961.37,1.79B,-0.75%
"Jan 05, 2021",2990.57,2943.67,2990.57,2921.84,1.52B,1.57%
"Jan 04, 2021",2944.45,2874.5,2946.54,2869.11,1.03B,2.47%
"Dec 30, 2020",2873.47,2820.36,2878.21,2809.35,1.07B,1.88%
"Dec 29, 2020",2820.51,2810.55,2823.44,2792.06,1.05B,0.42%
"Dec 28, 2020",2808.6,2820.95,2834.59,2799.56,1.01B,0.06%
"Dec 24, 2020",2806.86,2762.6,2812.16,2762.6,1.03B,1.70%
"Dec 23, 2020",2759.82,2737.74,2769.08,2716.28,1.12B,0.96%
"Dec 22, 2020",2733.68,2772.03,2774.22,2733.64,1.26B,-1.62%
"Dec 21, 2020",2778.65,2771.98,2780.24,2747.09,1.14B,0.23%
"Dec 18, 2020",2772.18,2770.95,2782.15,2762.8,1.06B,0.06%
